"tx","ty","tz","r","g","b","a","scale","shape",
"0.96692216","0.43709326","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9030503","0.205369","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9683543","0.51241314","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9447329","0.85959154","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.1675385","0.6844606","0.026428627","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9200508","0.5427204","0.0029602502","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.98596805","0.31325924","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.90809673","0.51004606","0.003555352","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.871683","0.36502156","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9268445","0.5701162","0.0025940337","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9731867","0.13883258","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.4786444","0.7987214","0.023926146","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.96314114","0.46496275","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.16201344","0.66976553","0.025619898","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.93801564","0.6259064","0.0012054627","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.98130405","0.059703894","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9221209","0.19525506","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.16060688","0.45840272","0.018631266","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.97249615","0.48072132","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.15664214","0.7441211","0.023834592","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9290916","0.39187738","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9636226","0.57962096","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9331118","0.5328889","0.002151522","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9406733","0.518187","0.0015869383","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.8752701","0.392517","0.00045777066","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.87092406","0.2862803","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.6558756","0.85117084","0.011551079","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.20677824","0.298894","0.02136263","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.25534797","0.05477012","0.01684596","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.87632716","0.5112266","0.005645838","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.85260385","0.5437693","0.007431144","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.84424335","0.29765543","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.8402881","0.556663","0.008148318","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9765088","0.47891968","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9338286","0.27268964","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9150135","0.5490827","0.003494316","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9683446","0.5445284","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.20241295","0.7653283","0.02777142","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9098438","0.5392061","0.0037537194","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9547723","0.28499976","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9944395","0.22640923","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.99305624","0.6295198","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.87904286","0.10122533","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9054335","0.1614206","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9850421","0.54533726","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.89887905","0.5151214","0.0043183034","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.99191","0.36422762","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.87277967","0.103498094","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.25977233","0.15758361","0.022690166","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9755051","0.4275301","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
