"tx","ty","tz","r","g","b"
"0.287888","0.846728","0","0.516667","0","1"
"0.288523","0.836909","0","0.516667","0","1"
"0.288825","0.827074","0","0.516667","0","1"
"0.289024","0.817236","0","0.516667","0","1"
"0.289185","0.807397","0","0.516667","0","1"
"0.289315","0.797558","0","0.516667","0","1"
"0.289408","0.787718","0","0.516667","0","1"
"0.289478","0.777879","0","0.516667","0","1"
"0.289546","0.768039","0","0.516667","0","1"
"0.289617","0.758199","0","0.516667","0","1"
"0.289705","0.74836","0","0.516667","0","1"
"0.289909","0.738522","0","0.516667","0","1"
"0.292183","0.730458","0","0.516667","0","1"
"0.302018","0.73018","0","0.516667","0","1"
"0.311858","0.730061","0","0.516667","0","1"
"0.321697","0.730001","0","0.516667","0","1"
"0.331537","0.729997","0","0.516667","0","1"
"0.341377","0.730027","0","0.516667","0","1"
"0.351217","0.730062","0","0.516667","0","1"
"0.361057","0.730102","0","0.516667","0","1"
"0.370897","0.730145","0","0.516667","0","1"
"0.380737","0.730192","0","0.516667","0","1"
"0.390577","0.730241","0","0.516667","0","1"
"0.400417","0.730293","0","0.516667","0","1"
"0.410257","0.730346","0","0.516667","0","1"
"0.420096","0.730397","0","0.516667","0","1"
"0.429936","0.730444","0","0.516667","0","1"
"0.439776","0.730489","0","0.516667","0","1"
"0.449616","0.730529","0","0.516667","0","1"
"0.459456","0.730566","0","0.516667","0","1"
"0.469296","0.730597","0","0.516667","0","1"
"0.479136","0.730622","0","0.516667","0","1"
"0.488976","0.730619","0","0.516667","0","1"
"0.498816","0.730554","0","0.516667","0","1"
"0.508655","0.730432","0","0.516667","0","1"
"0.518492","0.730182","0","0.516667","0","1"
"0.522898","0.724128","0","0.516667","0","1"
"0.523422","0.714302","0","0.516667","0","1"
"0.523851","0.704471","0","0.516667","0","1"
"0.524233","0.694638","0","0.516667","0","1"
"0.52458","0.684805","0","0.516667","0","1"
"0.524907","0.67497","0","0.516667","0","1"
"0.525182","0.665134","0","0.516667","0","1"
"0.525441","0.655297","0","0.516667","0","1"
"0.525696","0.645461","0","0.516667","0","1"
"0.525945","0.635624","0","0.516667","0","1"
"0.526191","0.625787","0","0.516667","0","1"
"0.526432","0.61595","0","0.516667","0","1"
"0.52667","0.606113","0","0.516667","0","1"
"0.526904","0.596275","0","0.516667","0","1"
"0.527135","0.586438","0","0.516667","0","1"
"0.527362","0.576601","0","0.516667","0","1"
"0.527587","0.566763","0","0.516667","0","1"
"0.527808","0.556926","0","0.516667","0","1"
"0.528023","0.547088","0","0.516667","0","1"
"0.528223","0.53725","0","0.516667","0","1"
"0.528421","0.527412","0","0.516667","0","1"
"0.528616","0.517574","0","0.516667","0","1"
"0.52881","0.507736","0","0.516667","0","1"
"0.529001","0.497898","0","0.516667","0","1"
"0.529189","0.48806","0","0.516667","0","1"
"0.529375","0.478221","0","0.516667","0","1"
"0.529559","0.468383","0","0.516667","0","1"
"0.529739","0.458545","0","0.516667","0","1"
"0.529917","0.448706","0","0.516667","0","1"
"0.530091","0.438868","0","0.516667","0","1"
"0.530263","0.429029","0","0.516667","0","1"
"0.530413","0.419191","0","0.516667","0","1"
"0.530546","0.409351","0","0.516667","0","1"
"0.530667","0.399512","0","0.516667","0","1"
"0.530771","0.389673","0","0.516667","0","1"
"0.530845","0.379833","0","0.516667","0","1"
"0.530842","0.369993","0","0.516667","0","1"
"0.521849","0.368667","0","0.516667","0","1"
"0.512016","0.368297","0","0.516667","0","1"
"0.502181","0.367984","0","0.516667","0","1"
"0.492345","0.367708","0","0.516667","0","1"
"0.482507","0.367488","0","0.516667","0","1"
"0.47267","0.367276","0","0.516667","0","1"
"0.462832","0.367073","0","0.516667","0","1"
"0.452994","0.366877","0","0.516667","0","1"
"0.443156","0.366688","0","0.516667","0","1"
"0.433317","0.366507","0","0.516667","0","1"
"0.423479","0.366332","0","0.516667","0","1"
"0.41364","0.366163","0","0.516667","0","1"
"0.403801","0.36603","0","0.516667","0","1"
"0.393962","0.365907","0","0.516667","0","1"
"0.384123","0.365793","0","0.516667","0","1"
"0.374283","0.365687","0","0.516667","0","1"
"0.364444","0.365594","0","0.516667","0","1"
"0.354604","0.36551","0","0.516667","0","1"
"0.344764","0.365439","0","0.516667","0","1"
"0.334924","0.365382","0","0.516667","0","1"
"0.325085","0.365409","0","0.516667","0","1"
"0.315245","0.36552","0","0.516667","0","1"
"0.305408","0.365731","0","0.516667","0","1"
"0.295579","0.366191","0","0.516667","0","1"
"0.293162","0.374294","0","0.516667","0","1"
"0.292723","0.384124","0","0.516667","0","1"
"0.292385","0.393959","0","0.516667","0","1"
"0.292098","0.403794","0","0.516667","0","1"
"0.291847","0.413631","0","0.516667","0","1"
"0.29162","0.423469","0","0.516667","0","1"
"0.291463","0.433307","0","0.516667","0","1"
"0.291317","0.443146","0","0.516667","0","1"
"0.291178","0.452985","0","0.516667","0","1"
"0.291044","0.462824","0","0.516667","0","1"
"0.290916","0.472663","0","0.516667","0","1"
"0.290792","0.482503","0","0.516667","0","1"
"0.290674","0.492342","0","0.516667","0","1"
"0.290559","0.502181","0","0.516667","0","1"
"0.29045","0.512021","0","0.516667","0","1"
"0.290345","0.52186","0","0.516667","0","1"
"0.290243","0.5317","0","0.516667","0","1"
"0.290146","0.541539","0","0.516667","0","1"
"0.290057","0.551379","0","0.516667","0","1"
"0.289989","0.561218","0","0.516667","0","1"
"0.289925","0.571058","0","0.516667","0","1"
"0.289864","0.580898","0","0.516667","0","1"
"0.289806","0.590738","0","0.516667","0","1"
"0.289752","0.600578","0","0.516667","0","1"
"0.289701","0.610418","0","0.516667","0","1"
"0.289655","0.620257","0","0.516667","0","1"
"0.289612","0.630097","0","0.516667","0","1"
"0.289574","0.639937","0","0.516667","0","1"
"0.289541","0.649777","0","0.516667","0","1"
"0.289512","0.659617","0","0.516667","0","1"
"0.289488","0.669457","0","0.516667","0","1"
"0.289499","0.679297","0","0.516667","0","1"
"0.28954","0.689137","0","0.516667","0","1"
"0.289603","0.698977","0","0.516667","0","1"
"0.289696","0.708816","0","0.516667","0","1"
"0.289841","0.718655","0","0.516667","0","1"
"0.290114","0.728491","0","0.516667","0","1"
"0.0194879","0.813493","-0.0615","0.37","0.486118","1"
"0.0262978","0.806395","-0.0615","0.37","0.486118","1"
"0.0327221","0.798942","-0.0615","0.37","0.486118","1"
"0.0389999","0.791365","-0.0615","0.37","0.486118","1"
"0.0452889","0.783797","-0.0615","0.37","0.486118","1"
"0.0516146","0.77626","-0.0615","0.37","0.486118","1"
"0.0579808","0.768757","-0.0615","0.37","0.486118","1"
"0.0645328","0.761417","-0.0615","0.37","0.486118","1"
"0.0712676","0.754243","-0.0615","0.37","0.486118","1"
"0.0781469","0.747208","-0.0615","0.37","0.486118","1"
"0.0851906","0.740337","-0.0615","0.37","0.486118","1"
"0.0926939","0.733997","-0.0615","0.37","0.486118","1"
"0.100957","0.728662","-0.0615","0.37","0.486118","1"
"0.10986","0.724501","-0.0615","0.37","0.486118","1"
"0.119524","0.723307","-0.0615","0.37","0.486118","1"
"0.129364","0.723349","-0.0615","0.37","0.486118","1"
"0.139204","0.723395","-0.0615","0.37","0.486118","1"
"0.149044","0.723445","-0.0615","0.37","0.486118","1"
"0.158883","0.723497","-0.0615","0.37","0.486118","1"
"0.168723","0.72355","-0.0615","0.37","0.486118","1"
"0.178563","0.723606","-0.0615","0.37","0.486118","1"
"0.188403","0.723664","-0.0615","0.37","0.486118","1"
"0.198243","0.723723","-0.0615","0.37","0.486118","1"
"0.208083","0.723782","-0.0615","0.37","0.486118","1"
"0.217922","0.723841","-0.0615","0.37","0.486118","1"
"0.227762","0.723901","-0.0615","0.37","0.486118","1"
"0.237602","0.723961","-0.0615","0.37","0.486118","1"
"0.247442","0.724021","-0.0615","0.37","0.486118","1"
"0.257282","0.724081","-0.0615","0.37","0.486118","1"
"0.267122","0.724142","-0.0615","0.37","0.486118","1"
"0.276961","0.724203","-0.0615","0.37","0.486118","1"
"0.286801","0.724265","-0.0615","0.37","0.486118","1"
"0.296641","0.724327","-0.0615","0.37","0.486118","1"
"0.306481","0.724389","-0.0615","0.37","0.486118","1"
"0.316321","0.724451","-0.0615","0.37","0.486118","1"
"0.32616","0.724514","-0.0615","0.37","0.486118","1"
"0.336","0.724577","-0.0615","0.37","0.486118","1"
"0.34584","0.724639","-0.0615","0.37","0.486118","1"
"0.35568","0.724702","-0.0615","0.37","0.486118","1"
"0.36552","0.724765","-0.0615","0.37","0.486118","1"
"0.375359","0.724828","-0.0615","0.37","0.486118","1"
"0.385199","0.724892","-0.0615","0.37","0.486118","1"
"0.395039","0.724955","-0.0615","0.37","0.486118","1"
"0.404879","0.725019","-0.0615","0.37","0.486118","1"
"0.414719","0.725083","-0.0615","0.37","0.486118","1"
"0.424558","0.725147","-0.0615","0.37","0.486118","1"
"0.424663","0.715346","-0.0615","0.37","0.486118","1"
"0.42473","0.705506","-0.0615","0.37","0.486118","1"
"0.424798","0.695666","-0.0615","0.37","0.486118","1"
"0.424865","0.685827","-0.0615","0.37","0.486118","1"
"0.424932","0.675987","-0.0615","0.37","0.486118","1"
"0.424999","0.666147","-0.0615","0.37","0.486118","1"
"0.425066","0.656307","-0.0615","0.37","0.486118","1"
"0.425133","0.646468","-0.0615","0.37","0.486118","1"
"0.4252","0.636628","-0.0615","0.37","0.486118","1"
"0.425267","0.626788","-0.0615","0.37","0.486118","1"
"0.425334","0.616948","-0.0615","0.37","0.486118","1"
"0.425401","0.607109","-0.0615","0.37","0.486118","1"
"0.425468","0.597269","-0.0615","0.37","0.486118","1"
"0.425536","0.587429","-0.0615","0.37","0.486118","1"
"0.425603","0.577589","-0.0615","0.37","0.486118","1"
"0.42567","0.567749","-0.0615","0.37","0.486118","1"
"0.425737","0.55791","-0.0615","0.37","0.486118","1"
"0.425804","0.54807","-0.0615","0.37","0.486118","1"
"0.425871","0.53823","-0.0615","0.37","0.486118","1"
"0.425938","0.52839","-0.0615","0.37","0.486118","1"
"0.426005","0.518551","-0.0615","0.37","0.486118","1"
"0.426072","0.508711","-0.0615","0.37","0.486118","1"
"0.426139","0.498871","-0.0615","0.37","0.486118","1"
"0.426206","0.489031","-0.0615","0.37","0.486118","1"
"0.426273","0.479191","-0.0615","0.37","0.486118","1"
"0.426341","0.469352","-0.0615","0.37","0.486118","1"
"0.426408","0.459512","-0.0615","0.37","0.486118","1"
"0.426475","0.449672","-0.0615","0.37","0.486118","1"
"0.426542","0.439832","-0.0615","0.37","0.486118","1"
"0.426609","0.429993","-0.0615","0.37","0.486118","1"
"0.426676","0.420153","-0.0615","0.37","0.486118","1"
"0.426743","0.410313","-0.0615","0.37","0.486118","1"
"0.42681","0.400473","-0.0615","0.37","0.486118","1"
"0.426877","0.390634","-0.0615","0.37","0.486118","1"
"0.426944","0.380794","-0.0615","0.37","0.486118","1"
"0.427011","0.370954","-0.0615","0.37","0.486118","1"
"0.427079","0.361114","-0.0615","0.37","0.486118","1"
"0.427146","0.351274","-0.0615","0.37","0.486118","1"
"0.427213","0.341435","-0.0615","0.37","0.486118","1"
"0.42728","0.331595","-0.0615","0.37","0.486118","1"
"0.427347","0.321755","-0.0615","0.37","0.486118","1"
"0.423332","0.315913","-0.0615","0.37","0.486118","1"
"0.413493","0.315775","-0.0615","0.37","0.486118","1"
"0.403654","0.315637","-0.0615","0.37","0.486118","1"
"0.393815","0.3155","-0.0615","0.37","0.486118","1"
"0.383976","0.315362","-0.0615","0.37","0.486118","1"
"0.374137","0.315224","-0.0615","0.37","0.486118","1"
"0.364298","0.315086","-0.0615","0.37","0.486118","1"
"0.354459","0.314948","-0.0615","0.37","0.486118","1"
"0.34462","0.31481","-0.0615","0.37","0.486118","1"
"0.334781","0.314673","-0.0615","0.37","0.486118","1"
"0.324942","0.314535","-0.0615","0.37","0.486118","1"
"0.315103","0.314397","-0.0615","0.37","0.486118","1"
"0.305263","0.314259","-0.0615","0.37","0.486118","1"
"0.295424","0.314122","-0.0615","0.37","0.486118","1"
"0.285585","0.313984","-0.0615","0.37","0.486118","1"
"0.275746","0.313846","-0.0615","0.37","0.486118","1"
"0.265907","0.313708","-0.0615","0.37","0.486118","1"
"0.256068","0.313571","-0.0615","0.37","0.486118","1"
"0.246229","0.313433","-0.0615","0.37","0.486118","1"
"0.23639","0.313295","-0.0615","0.37","0.486118","1"
"0.226551","0.313158","-0.0615","0.37","0.486118","1"
"0.216712","0.31302","-0.0615","0.37","0.486118","1"
"0.206873","0.312882","-0.0615","0.37","0.486118","1"
"0.197034","0.312745","-0.0615","0.37","0.486118","1"
"0.187195","0.312607","-0.0615","0.37","0.486118","1"
"0.177356","0.31247","-0.0615","0.37","0.486118","1"
"0.167517","0.312333","-0.0615","0.37","0.486118","1"
"0.157678","0.312195","-0.0615","0.37","0.486118","1"
"0.147839","0.312058","-0.0615","0.37","0.486118","1"
"0.138","0.31192","-0.0615","0.37","0.486118","1"
"0.128161","0.311783","-0.0615","0.37","0.486118","1"
"0.118322","0.311646","-0.0615","0.37","0.486118","1"
"0.108483","0.311508","-0.0615","0.37","0.486118","1"
"0.0986437","0.311371","-0.0615","0.37","0.486118","1"
"0.0888047","0.311234","-0.0615","0.37","0.486118","1"
"0.0789656","0.311097","-0.0615","0.37","0.486118","1"
"0.0691265","0.31096","-0.0615","0.37","0.486118","1"
"0.0592875","0.310822","-0.0615","0.37","0.486118","1"
"0.0494485","0.310685","-0.0615","0.37","0.486118","1"
"0.0396094","0.310548","-0.0615","0.37","0.486118","1"
"0.0297704","0.310412","-0.0615","0.37","0.486118","1"
"0.0199313","0.310276","-0.0615","0.37","0.486118","1"
"0.0100923","0.31014","-0.0615","0.37","0.486118","1"
"0.000253201","0.310004","-0.0615","0.37","0.486118","1"
"-0.00958586","0.309868","-0.0615","0.37","0.486118","1"
"-0.0194249","0.309733","-0.0615","0.37","0.486118","1"
"-0.029264","0.309598","-0.0615","0.37","0.486118","1"
"-0.0391032","0.309465","-0.0615","0.37","0.486118","1"
"0.0264624","0.727938","0","0.364706","1","0"
"0.0363005","0.728127","0","0.364706","1","0"
"0.0461385","0.72833","0","0.364706","1","0"
"0.0559763","0.728537","0","0.364706","1","0"
"0.065814","0.728747","0","0.364706","1","0"
"0.0756517","0.728962","0","0.364706","1","0"
"0.0854894","0.729177","0","0.364706","1","0"
"0.095327","0.729393","0","0.364706","1","0"
"0.105165","0.72961","0","0.364706","1","0"
"0.115002","0.729827","0","0.364706","1","0"
"0.12484","0.730044","0","0.364706","1","0"
"0.134677","0.730261","0","0.364706","1","0"
"0.144515","0.730479","0","0.364706","1","0"
"0.154353","0.730697","0","0.364706","1","0"
"0.16419","0.730915","0","0.364706","1","0"
"0.174028","0.731134","0","0.364706","1","0"
"0.183865","0.731352","0","0.364706","1","0"
"0.193703","0.731571","0","0.364706","1","0"
