"tx","ty","tz","r","g","b","a","scale","shape",
"0.151834","0.460462","0.0178988",,,,,,,
"0.206696","0.300763","0.0213321",,,,,,,
"0.199029","0.761089","0.0276036",,,,,,,
"0.735448","0.852719","0.00769055",,,,,,,
"0.213773","0.276293","0.022034",,,,,,,
"0.253562","0.804085","0.0289769",,,,,,,
"0.130184","0.819876","0.0161898",,,,,,,
"0.864816","0.851928","0.00215152",,,,,,,
"0.3475","0.804968","0.0297246",,,,,,,
"0.223237","0.269022","0.0225071",,,,,,,
"0.155892","0.765629","0.0229953",,,,,,,
"0.400299","0.809781","0.0279088",,,,,,,
"0.393835","0.792331","0.0289006",,,,,,,
"0.161268","0.387841","0.0174105",,,,,,,
"0.61066","0.877148","0.0129549",,,,,,,
"0.247391","0.80064","0.0288396",,,,,,,
"0.156","0.786208","0.0220035",,,,,,,
"0.139279","0.798536","0.0190738",,,,,,,
"0.762386","0.841055","0.00706493",,,,,,,
"0.731537","0.856741","0.00772107",,,,,,,
"0.356321","0.793518","0.0300755",,,,,,,
"0.416149","0.792581","0.0278172",,,,,,,
"0.822427","0.85444","0.00389105",,,,,,,
"0.793495","0.842865","0.00560006",,,,,,,
"0.208018","0.268116","0.0216526",,,,,,,
"0.164029","0.785774","0.0229343",,,,,,,
"0.548939","0.871054","0.016846",,,,,,,
"0.263009","0.0711255","0.0181125",,,,,,,
"0.911416","0.843388","0.000457771",,,,,,,
"0.476209","0.809192","0.0238956",,,,,,,
"0.117887","0.828921","0.0139467",,,,,,,
"0.499727","0.820179","0.021973",,,,,,,
"0.225452","0.785368","0.0283207",,,,,,,
"0.881108","0.843091","0.00166323",,,,,,,
"0.81704","0.850932","0.00433356",,,,,,,
"0.715136","0.841547","0.00898756",,,,,,,
"0.76268","0.846817","0.00680552",,,,,,,
"0.530952","0.863422","0.0183261",,,,,,,
"0.846436","0.844898","0.00321965",,,,,,,
"0.825726","0.856939","0.00360113",,,,,,,
"0.154186","0.505643","0.0195621",,,,,,,
"0.693889","0.862002","0.00923171",,,,,,,
"0.669792","0.694741","0.0148928",,,,,,,
"0.38818","0.818322","0.0278325",,,,,,,
"0.302306","0.814079","0.0294499",,,,,,,
"0.230188","0.242818","0.0230106",,,,,,,
"0.403483","0.816467","0.0273747",,,,,,,
"0.16475","0.785071","0.0229343",,,,,,,
"0.830635","0.833241","0.00424201",,,,,,,
"0.168897","0.75537","0.0247044",,,,,,,
"0.934608","0.845465","0",,,,,,,
"0.894754","0.85688","0.000793469",,,,,,,
"0.193614","0.795143","0.0251926",,,,,,,
"0.57267","0.854734","0.016022",,,,,,,
"0.161049","0.59244","0.0239719",,,,,,,
"0.255067","0.812667","0.0285496",,,,,,,
"0.16071","0.623561","0.0249485",,,,,,,
"0.459133","0.808663","0.0248417",,,,,,,
"0.271565","0.81236","0.029099",,,,,,,
"0.337055","0.804982","0.0299382",,,,,,,
"0.815431","0.834736","0.00482185",,,,,,,
"0.154084","0.769622","0.0223239",,,,,,,
"0.319872","0.797217","0.0304723",,,,,,,
"0.185002","0.777419","0.0254673",,,,,,,
"0.545647","0.853802","0.0176852",,,,,,,
"0.741101","0.840918","0.00790417",,,,,,,
"0.539781","0.83972","0.0185245",,,,,,,
"0.9148","0.833089","0.000503548",,,,,,,
"0.152475","0.744287","0.0233463",,,,,,,
"0.175928","0.332682","0.0188449",,,,,,,
"0.150317","0.559859","0.0215",,,,,,,
"0.268761","0.802415","0.0295262",,,,,,,
"0.540733","0.857629","0.0177768",,,,,,,
"0.366369","0.805707","0.0293431",,,,,,,
"0.547238","0.873144","0.0166934",,,,,,,
"0.801559","0.832522","0.00563058",,,,,,,
"0.197719","0.782665","0.0261845",,,,,,,
"0.161758","0.783933","0.0224765",,,,,,,
"0.225051","0.796107","0.0277104",,,,,,,
"0.158009","0.532232","0.0211185",,,,,,,
"0.620957","0.865196","0.0129091",,,,,,,
"0.397207","0.795251","0.0285801",,,,,,,
"0.151568","0.767489","0.0223239",,,,,,,
"0.156284","0.428425","0.0175174",,,,,,,
"0.156775","0.393328","0.0171054",,,,,,,
"0.818841","0.847966","0.00428779",,,,,,,
"0.181191","0.373502","0.0189822",,,,,,,
"0.252321","0.0726549","0.0182803",,,,,,,
"0.154139","0.567921","0.0222324",,,,,,,
"0.816427","0.842916","0.00457771",,,,,,,
"0.152423","0.610065","0.0238041",,,,,,,
"0.203528","0.793417","0.0264439",,,,,,,
"0.787562","0.843519","0.00576791",,,,,,,
"0.822264","0.830706","0.00459297",,,,,,,
"0.182884","0.777156","0.0254673",,,,,,,
"0.268072","0.811306","0.0289769",,,,,,,
"0.666999","0.689362","0.0151369",,,,,,,
"0.142036","0.544028","0.0200351",,,,,,,
"0.501752","0.810317","0.0220188",,,,,,,
"0.183962","0.334418","0.0194247",,,,,,,
"0.166966","0.438649","0.0188144",,,,,,,
"0.155933","0.606372","0.024094",,,,,,,
"0.240711","0.806138","0.0280156",,,,,,,
"0.39775","0.801033","0.0284123",,,,,,,
"0.429265","0.794621","0.0270695",,,,,,,
"0.46155","0.797303","0.0250401",,,,,,,
"0.269487","0.80529","0.0295262",,,,,,,
"0.231235","0.805942","0.0275578",,,,,,,
"0.663173","0.690854","0.0153201",,,,,,,
"0.654764","0.865482","0.0110323",,,,,,,
"0.251617","0.118383","0.0208896",,,,,,,
"0.372033","0.814999","0.0285649",,,,,,,
"0.190107","0.324491","0.019791",,,,,,,
"0.382426","0.79548","0.0290532",,,,,,,
"0.189744","0.34895","0.0196231",,,,,,,
"0.612596","0.446299","0.0148928",,,,,,,
"0.215377","0.300887","0.0218051",,,,,,,
"0.496836","0.811724","0.0222629",,,,,,,
"0.120054","0.813568","0.0155489",,,,,,,
"0.26199","0.149374","0.0224918",,,,,,,
"0.15321","0.557715","0.0217746",,,,,,,
"0.783745","0.831146","0.00631724",,,,,,,
"0.430426","0.808858","0.0263981",,,,,,,
"0.488932","0.802447","0.0230411",,,,,,,
"0.15697","0.488229","0.0191806",,,,,,,
"0.164583","0.636971","0.0256199",,,,,,,
"0.163721","0.405833","0.0178683",,,,,,,
"0.407898","0.81495","0.0272068",,,,,,,
"0.200395","0.76957","0.0272679",,,,,,,
"0.390222","0.638877","0.0306401",,,,,,,
"0.416704","0.800284","0.027512",,,,,,,
"0.204966","0.282328","0.0212711",,,,,,,
"0.456906","0.812314","0.0246891",,,,,,,
"0.232955","0.23988","0.0230106",,,,,,,
"0.196662","0.326102","0.0203403",,,,,,,
"0.151802","0.608607","0.023682",,,,,,,
"0.390119","0.642341","0.030869",,,,,,,
"0.22344","0.270063","0.0225071",,,,,,,
"0.163005","0.713434","0.0256504",,,,,,,
"0.442349","0.804524","0.0259098",,,,,,,
"0.15932","0.580967","0.0235142",,,,,,,
"0.216228","0.303392","0.0218051",,,,,,,
"0.445473","0.807777","0.0255283",,,,,,,
"0.223653","0.291617","0.0223545",,,,,,,
"0.613031","0.446893","0.0148928",,,,,,,
"0.54151","0.853427","0.0179294",,,,,,,
"0.823863","0.855208","0.00389105",,,,,,,
"0.350913","0.799562","0.0299077",,,,,,,
"0.487562","0.798841","0.0234226",,,,,,,
"0.182077","0.346319","0.0190585",,,,,,,
"0.15887","0.65176","0.0254673",,,,,,,
"0.217307","0.272986","0.022034",,,,,,,
"0.405711","0.801284","0.0280766",,,,,,,
"0.147002","0.64023","0.0235447",,,,,,,
"0.20251","0.779795","0.0270542",,,,,,,
"0.173204","0.433022","0.0189822",,,,,,,
"0.217354","0.774573","0.0281529",,,,,,,
"0.160449","0.428705","0.0178683",,,,,,,
"0.218522","0.791668","0.0276493",,,,,,,
"0.317644","0.805449","0.0301061",,,,,,,
"0.452626","0.816389","0.024979",,,,,,,
"0.672594","0.697874","0.0146639",,,,,,,
"0.15844","0.69095","0.0251164",,,,,,,
"0.14899","0.747168","0.0227054",,,,,,,
"0.426518","0.798926","0.0269169",,,,,,,
"0.453558","0.80053","0.0253758",,,,,,,
"0.457878","0.820653","0.0243687",,,,,,,
"0.188017","0.340203","0.0196689",,,,,,,
"0.157919","0.508956","0.0201114",,,,,,,
"0.294321","0.801403","0.0301976",,,,,,,
"0.517653","0.850004","0.0195163",,,,,,,
"0.15282","0.428916","0.0171511",,,,,,,
"0.155015","0.50636","0.0199435",,,,,,,
"0.425946","0.798021","0.0270695",,,,,,,
"0.780497","0.842585","0.00608835",,,,,,,
"0.202819","0.802228","0.0257877",,,,,,,
"0.612025","0.868527","0.0133516",,,,,,,
"0.169969","0.377768","0.0180362",,,,,,,
"0.159185","0.607059","0.024506",,,,,,,
"0.414271","0.805196","0.0273594",,,,,,,
