X,Y,Z
0.481491761724472,0.5305960178375244,0.0
0.47244363545608514,0.5301475461244582,0.0
0.4325297263069152,0.5296990744113922,0.0
0.38857958640289303,0.5288021339178085,0.0
0.37108922185134885,0.5288021339178085,0.0
0.3527019197387695,0.5283536622047424,0.0
0.341041672794342,0.5283536622047424,0.0
0.3298299063606262,0.5288021339178085,0.0
0.24820822467041015,0.5270082499980926,0.0
0.23968727091979974,0.5270082499980926,0.0
0.2293724420471191,0.5270082499980926,0.0
0.18811312655639645,0.5265597782850265,0.0
0.1760044225616455,0.5261113065719605,0.0
0.16703500003051758,0.5256628348588943,0.0
0.154477827255249,0.5256628348588943,0.0
0.1365389821929931,0.5256628348588943,0.0
